,2015/05/22, 6679 , 1.3% ,Err:522
,2015/05/21, 5925 , 1.1% ,Err:522
,2015/05/20, 3235 , 0.6% ,Err:522
,2015/05/19, 3553 , 0.7% ,Err:522
,2015/05/18, 3716 , 0.7% ,Err:522
,2015/05/17, 3744 , 0.7% ,Err:522
,2015/05/16, 3927 , 0.8% ,Err:522
,2015/05/15, 3627 , 0.7% ,Err:522
,2015/05/14, 3545 , 0.7% ,Err:522
,2015/05/13, 3754 , 0.7% ,Err:522
,2015/05/12, 3404 , 0.7% ,Err:522
,2015/05/11, 3646 , 0.7% ,Err:522
Incomplete,Date,Events,% of Events,
