@relation 'JNC Dataset Android 0511-0911 - Training Set-weka.filters.unsupervised.attribute.Remove-R1,4-9,18-weka.filters.unsupervised.attribute.Remove-V-R1-2,5-6,8-10,12,11'

@attribute 'Cohort Size' numeric
@attribute 'Day 1' numeric
@attribute LevelFailedEvents numeric
@attribute LevelSuccessEvents numeric
@attribute Sessions numeric
@attribute MKTExpenses numeric
@attribute TotalPurchases numeric
@attribute MedianSessionSeconds numeric
@attribute ActiveUsersDay7 numeric

@data
370,35.14,27698,9639,21410,0,14,344,5767
356,31.18,26075,9129,19440,0,20,336,5625
349,33.52,27478,9326,19877,0,13,334,5760
341,36.07,25326,8463,18727,0,23,250,5545
1244,37.38,47548,24375,39357,145.34,74,426,11332
1309,41.33,50291,25977,40791,224.33,72,410,10753
1246,37.8,47236,24326,38924,173.55,60,417,10833
1481,38.62,47664,25812,39670,165.2,94,413,10520
1749,35.73,48922,27670,41144,197.68,84,423,10559
2068,36.75,52382,32637,43865,200.02,99,406,10841
1433,32.73,50857,28176,41067,194.89,108,410,11169
1054,33.68,44697,22100,36728,193.51,95,420,10769
1000,33.8,42108,20800,34303,154.13,55,412,10390
1140,35.53,42749,21592,34475,154.05,56,402,11412
993,33.64,40910,19994,33441,145.08,50,412,11585
1038,35.65,40620,20104,33334,142.33,90,416,11742
1227,34.23,41519,22804,34334,180.24,81,419,12175
1304,32.13,44487,24615,36318,195.9,78,405,12081
1222,33.22,40440,21340,33784,170.21,79,421,10970
1230,34.39,38494,20748,32301,146.67,68,412,10674
1979,39.16,42507,26187,35196,131.88,51,403,10261
1984,37.9,42512,26550,35016,131.11,55,394,10159
2044,39.29,43049,27878,36120,147.75,61,391,10204
2000,37.9,46764,28978,37451,143.66,61,405,10565
1608,32.15,49344,28462,38785,176.54,86,411,10564
1135,35.33,43570,21791,34097,163.07,76,420,10055
1099,35.94,42176,20632,33760,148.27,57,399,9726
1057,34.63,40539,20490,32043,139.32,64,387,10233
1052,32.6,41050,19833,32453,159.82,53,389,10293
1058,35.35,39561,20258,31592,158.43,69,409,10457
1269,35.7,40798,21797,33239,176.39,80,406,11037
1236,36.17,41700,21572,33631,194.15,69,396,11290
1110,31.35,42004,20997,32531,174.77,60,410,10189
1061,36.57,38471,18843,30699,187.99,72,402,10726
1037,37.03,36575,17281,32116,158.84,68,397,10272
913,36.8,36353,16089,32988,142.72,77,396,10106
1024,40.92,37779,16703,34228,117.42,65,391,9990
1466,40.52,38013,20158,35167,58.07,56,399,10311
1599,36.09,38680,21205,35439,42.28,84,396,10718
