"",,Days Since Install
Install Date,Cohort Size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
04/20/15,1040.0,43.17%,29.81%,24.62%,20.87%,16.63%,17.21%,17.12%,14.9%,14.71%,12.31%,11.83%,10.87%,10.77%,9.71%,9.33%,9.81%,10%,8.85%,8.37%,8.94%,8.75%,7.98%,8.17%,6.44%,7.4%,8.27%,7.21%,7.5%,6.54%
04/19/15,1183.0,38.8%,28.83%,25.44%,22.15%,18.6%,17.16%,16.99%,13.86%,13.19%,12.43%,11.58%,12.43%,10.48%,10.9%,10.06%,10.23%,9.38%,9.3%,8.37%,8.88%,7.86%,8.62%,7.86%,7.61%,7.1%,6.85%,6.42%,7.27%,6.51%
04/18/15,949.0,39.62%,26.34%,20.86%,19.81%,16.86%,15.91%,13.91%,12.54%,10.75%,11.59%,10.54%,9.38%,10.22%,9.48%,9.27%,7.38%,6.74%,7.48%,6.53%,5.9%,6.74%,7.38%,6.11%,5.69%,5.69%,6.01%,4.21%,5.69%,5.8%
04/17/15,825.0,40.73%,28.97%,23.88%,20.85%,16%,14.91%,15.15%,11.88%,12%,11.27%,10.06%,9.45%,10.06%,8.73%,7.88%,9.33%,6.91%,6.06%,7.39%,6.55%,6.91%,6.55%,6.42%,5.45%,5.7%,5.45%,6.06%,5.58%,6.42%
04/16/15,858.0,41.38%,28.67%,24.71%,20.63%,18.3%,14.57%,12.94%,14.57%,12%,11.54%,10.02%,9.79%,8.86%,9.09%,8.16%,7.34%,6.29%,8.28%,5.94%,5.83%,5.94%,4.55%,4.31%,4.08%,4.08%,5.01%,4.43%,4.66%,4.2%
04/15/15,900.0,39.56%,29.67%,23.22%,22.56%,18.11%,16.89%,15.67%,13.89%,12.78%,11.11%,12.67%,10.44%,8.78%,10.33%,9.22%,8.67%,8.33%,9%,7.89%,7.44%,7.44%,6.22%,7.22%,6.44%,6.22%,5.33%,5.44%,5.44%,5.67%
04/14/15,1097.0,41.57%,27.71%,22.52%,19.78%,20.15%,17.05%,13.76%,13.67%,13.4%,11.3%,11.67%,10.12%,11.3%,10.48%,10.12%,9.12%,8.2%,8.57%,9.75%,8.39%,7.47%,7.11%,7.57%,6.93%,6.47%,7.66%,6.84%,7.38%,6.47%
04/13/15,1676.0,41.83%,30.19%,26.43%,20.47%,18.97%,17.42%,17%,15.1%,13.84%,12.59%,11.99%,10.56%,11.28%,10.98%,9.37%,10.32%,8.35%,8.35%,8.65%,7.88%,8.05%,6.86%,7.58%,6.86%,7.34%,8%,6.92%,7.04%,6.92%
04/12/15,2407.0,40.13%,28.33%,22.68%,19.73%,18.24%,18.78%,17.12%,14.04%,13.21%,12.21%,11.05%,11.18%,12.17%,10.88%,9.6%,8.89%,8.48%,8.14%,8.18%,8.68%,8.31%,7.31%,7.1%,7.23%,6.81%,6.69%,6.9%,6.73%,6.36%
04/11/15,2539.0,41.95%,27.92%,24.14%,20.32%,18.35%,18.12%,18.04%,15.56%,13.9%,12.64%,12.21%,12.13%,12.21%,12.56%,11.78%,9.89%,10%,9.41%,9.33%,8.98%,8.86%,8.98%,7.72%,7.56%,7.8%,7.33%,7.4%,7.52%,7.44%
04/10/15,1864.0,41.47%,29.99%,24.03%,20.55%,18.78%,15.56%,16.58%,15.72%,14.97%,12.82%,12.02%,11.75%,11.43%,11.59%,10.46%,10.89%,8.91%,8.91%,9.17%,9.66%,9.28%,7.94%,7.83%,8.15%,7.3%,6.97%,7.14%,6.55%,7.19%
