"",,Days Since Install
Install Date,Cohort Size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
04/20/15,170.0,44.71%,28.24%,28.82%,24.12%,21.76%,18.24%,15.88%,12.94%,15.88%,12.35%,13.53%,11.18%,7.06%,10%,8.24%,7.06%,5.88%,4.71%,6.47%,6.47%,5.88%,2.35%,7.06%,2.94%,5.29%,2.94%,5.29%,5.88%,2.94%
04/19/15,182.0,42.86%,28.02%,20.33%,17.03%,15.93%,15.38%,11.54%,11.54%,8.24%,10.44%,7.14%,8.79%,9.34%,7.14%,6.59%,6.04%,5.49%,6.04%,4.95%,4.4%,3.85%,2.2%,4.95%,3.85%,4.95%,4.95%,4.95%,4.4%,3.3%
04/18/15,231.0,42.86%,31.17%,21.21%,17.75%,17.32%,16.45%,13.42%,14.29%,12.12%,7.79%,9.09%,9.09%,6.93%,10.39%,9.09%,6.49%,6.06%,4.33%,6.93%,4.76%,3.03%,4.33%,3.46%,5.19%,3.46%,3.46%,5.63%,3.03%,3.46%
04/17/15,214.0,39.25%,22.9%,18.22%,15.89%,14.02%,13.55%,12.15%,14.49%,8.88%,9.35%,7.94%,8.88%,6.54%,5.61%,7.01%,5.14%,6.54%,4.21%,5.61%,5.14%,6.07%,4.67%,2.8%,3.27%,3.74%,2.34%,2.34%,1.87%,3.27%
04/16/15,183.0,47.54%,24.04%,24.59%,14.75%,17.49%,16.94%,10.38%,10.38%,13.11%,10.38%,7.1%,7.65%,10.93%,8.2%,7.65%,5.46%,4.37%,8.2%,4.37%,5.46%,6.01%,4.92%,2.19%,3.28%,2.19%,1.64%,4.37%,3.83%,5.46%
04/15/15,210.0,41.9%,30.48%,24.29%,24.29%,21.9%,18.1%,13.81%,14.76%,11.43%,11.43%,10.95%,11.9%,10.95%,7.62%,5.24%,10.95%,7.14%,6.67%,8.1%,6.67%,5.24%,7.14%,7.62%,5.71%,4.76%,4.29%,2.38%,2.38%,3.33%
04/14/15,173.0,44.51%,27.17%,24.86%,21.39%,13.87%,15.61%,12.72%,12.14%,10.98%,13.87%,9.83%,8.67%,6.94%,6.94%,5.2%,7.51%,9.25%,6.36%,5.78%,5.2%,5.78%,6.94%,5.78%,6.94%,6.36%,6.36%,5.2%,3.47%,4.05%
04/13/15,194.0,40.72%,26.29%,19.59%,18.04%,14.43%,14.95%,15.46%,14.43%,8.25%,7.22%,9.79%,7.22%,4.64%,9.28%,5.15%,5.15%,6.19%,7.22%,5.67%,4.64%,3.61%,4.12%,4.12%,3.09%,3.61%,3.61%,3.09%,4.12%,2.58%
04/12/15,212.0,48.11%,32.08%,24.53%,23.58%,25.94%,18.87%,16.04%,15.09%,10.85%,11.32%,13.68%,9.91%,11.32%,12.26%,9.43%,12.26%,8.96%,9.43%,9.43%,4.72%,8.02%,6.13%,2.83%,4.25%,3.77%,6.13%,3.3%,4.72%,4.72%
04/11/15,210.0,40%,22.86%,14.76%,14.76%,17.14%,14.29%,16.67%,14.29%,10.48%,10%,6.67%,8.1%,7.14%,9.05%,6.19%,4.76%,5.24%,5.24%,6.67%,5.71%,5.71%,6.19%,3.33%,2.86%,1.9%,1.43%,1.9%,2.86%,3.33%
04/10/15,200.0,38%,26.5%,25%,20.5%,16.5%,17%,21%,16%,15%,13%,10%,12%,7%,10%,7.5%,6.5%,5.5%,2%,7%,5%,5.5%,4.5%,4%,5%,5%,5%,5.5%,5%,2.5%
04/09/15,202.0,47.03%,30.69%,23.27%,20.79%,16.34%,15.35%,12.87%,14.36%,11.39%,9.9%,10.4%,10.4%,8.42%,6.44%,6.44%,7.43%,6.44%,3.96%,5.94%,5.45%,6.44%,4.46%,4.46%,3.96%,4.46%,5.45%,3.47%,2.97%,1.49%
04/08/15,192.0,42.19%,28.12%,21.35%,19.27%,16.15%,15.1%,11.98%,10.94%,10.42%,10.94%,10.94%,7.29%,5.21%,4.69%,6.25%,5.73%,6.77%,9.9%,6.77%,4.17%,3.65%,4.69%,4.69%,2.08%,3.65%,4.69%,3.65%,5.21%,3.12%
04/07/15,209.0,44.02%,29.19%,21.53%,25.84%,22.01%,18.66%,13.4%,12.92%,13.88%,12.44%,11%,12.44%,10.05%,10.53%,8.13%,7.18%,4.78%,8.61%,6.22%,5.74%,3.83%,2.87%,2.87%,2.87%,3.35%,2.39%,2.39%,2.39%,0.96%
04/06/15,233.0,39.06%,29.18%,20.17%,19.74%,14.16%,15.02%,13.73%,15.02%,12.45%,11.59%,10.73%,11.16%,7.73%,6.87%,7.73%,6.44%,7.3%,6.44%,5.58%,6.01%,7.3%,5.15%,5.58%,5.15%,4.72%,3.86%,5.15%,4.29%,4.72%
04/05/15,226.0,40.71%,28.32%,24.78%,21.68%,17.7%,18.14%,15.04%,13.72%,14.16%,12.83%,13.27%,12.39%,11.5%,8.85%,6.64%,6.64%,4.87%,5.31%,4.42%,3.98%,2.21%,2.65%,4.87%,3.54%,3.1%,3.54%,2.21%,2.21%,2.65%
04/04/15,210.0,36.67%,28.57%,21.43%,18.1%,17.62%,18.57%,14.76%,14.29%,11.9%,10.95%,10.48%,8.1%,9.05%,9.52%,5.71%,3.81%,3.33%,5.71%,5.71%,5.24%,3.81%,4.29%,3.33%,4.29%,4.76%,5.24%,3.81%,5.24%,2.86%
04/03/15,180.0,37.22%,24.44%,20%,16.11%,15.56%,16.11%,14.44%,13.89%,12.78%,13.33%,10.56%,8.33%,8.89%,6.11%,6.67%,6.67%,3.33%,5%,5.56%,5%,6.11%,3.33%,2.78%,5%,3.33%,5%,5%,3.33%,2.22%
04/02/15,202.0,42.08%,30.69%,23.27%,18.81%,17.82%,14.85%,16.34%,12.38%,11.39%,11.88%,8.42%,11.39%,9.41%,9.41%,5.94%,8.42%,7.92%,9.41%,7.43%,5.45%,6.93%,4.46%,4.46%,3.96%,3.47%,4.95%,4.46%,2.48%,2.48%
04/01/15,162.0,43.21%,37.65%,30.86%,27.78%,23.46%,24.69%,21.6%,22.22%,19.75%,18.52%,17.9%,15.43%,13.58%,14.81%,12.96%,12.96%,10.49%,8.02%,10.49%,7.41%,5.56%,6.79%,8.02%,4.94%,6.17%,4.32%,5.56%,5.56%,4.94%
03/31/15,162.0,44.44%,30.86%,20.37%,21.6%,23.46%,16.67%,17.28%,14.2%,13.58%,14.81%,17.9%,10.49%,8.02%,11.11%,9.26%,7.41%,9.26%,8.64%,6.79%,5.56%,5.56%,4.32%,3.7%,8.02%,4.94%,3.7%,3.09%,2.47%,4.32%
03/30/15,88.0,42.05%,30.68%,29.55%,25%,15.91%,20.45%,10.23%,14.77%,12.5%,13.64%,12.5%,13.64%,10.23%,13.64%,9.09%,11.36%,11.36%,9.09%,7.95%,9.09%,10.23%,6.82%,7.95%,9.09%,6.82%,4.55%,3.41%,2.27%,1.14%
03/29/15,10.0,40%,40%,10%,20%,10%,10%,10%,10%,0%,0%,20%,10%,10%,0%,30%,10%,10%,10%,0%,0%,10%,30%,10%,10%,10%,10%,20%,30%,20%
03/28/15,10.0,20%,30%,10%,20%,20%,10%,10%,20%,10%,20%,0%,0%,10%,10%,0%,0%,10%,10%,0%,0%,10%,10%,0%,0%,0%,10%,10%,10%,10%
03/27/15,60.0,28.33%,21.67%,13.33%,5%,10%,13.33%,8.33%,5%,5%,6.67%,8.33%,5%,5%,3.33%,5%,1.67%,3.33%,5%,3.33%,5%,5%,1.67%,1.67%,3.33%,6.67%,0%,5%,3.33%,3.33%
03/26/15,204.0,40.2%,25.98%,19.61%,15.2%,15.69%,14.71%,9.31%,10.29%,11.76%,10.29%,7.84%,9.8%,7.35%,6.37%,9.31%,7.35%,6.86%,7.84%,6.37%,6.37%,8.33%,7.35%,4.9%,5.88%,5.39%,3.43%,4.9%,3.43%,3.92%
03/25/15,197.0,52.79%,35.03%,30.46%,22.84%,21.83%,18.78%,14.21%,19.29%,16.75%,13.2%,14.21%,10.15%,7.61%,7.61%,10.15%,9.14%,8.12%,7.11%,7.61%,8.63%,5.08%,5.08%,6.6%,5.58%,3.05%,4.06%,5.58%,4.57%,4.57%
03/24/15,258.0,43.8%,32.17%,23.64%,17.05%,16.67%,14.34%,13.95%,15.5%,11.63%,10.08%,9.69%,8.53%,9.3%,8.14%,8.14%,6.59%,7.36%,7.75%,6.59%,6.59%,5.43%,6.98%,7.36%,6.2%,5.81%,5.43%,5.43%,3.49%,5.04%
03/23/15,235.0,42.13%,28.94%,25.53%,21.7%,15.74%,14.04%,11.91%,13.19%,11.49%,11.91%,11.49%,11.49%,8.51%,8.94%,7.66%,6.38%,8.09%,5.96%,6.38%,4.68%,4.26%,4.26%,4.26%,4.68%,4.26%,4.26%,2.98%,4.68%,4.26%
03/22/15,256.0,41.41%,29.69%,27.34%,25.78%,19.53%,18.36%,17.58%,14.84%,14.06%,8.98%,11.33%,12.89%,8.2%,10.94%,8.2%,8.59%,8.59%,6.25%,6.25%,6.25%,8.2%,6.64%,5.47%,6.25%,6.25%,5.47%,4.3%,3.91%,5.47%
03/21/15,272.0,44.85%,29.04%,21.69%,15.07%,18.01%,16.18%,17.28%,11.4%,11.03%,10.29%,8.46%,10.29%,8.09%,8.82%,6.25%,7.35%,8.46%,8.09%,8.46%,8.09%,5.88%,8.46%,6.62%,6.99%,6.62%,5.15%,7.35%,5.51%,6.99%
03/20/15,272.0,47.43%,32.35%,27.57%,21.32%,18.01%,20.22%,16.54%,13.97%,15.07%,11.4%,11.03%,10.66%,9.56%,11.76%,9.93%,7.35%,6.25%,6.99%,9.93%,9.19%,9.56%,6.99%,5.51%,5.88%,5.88%,5.51%,5.15%,5.15%,4.41%
03/19/15,232.0,41.81%,25.43%,21.98%,20.26%,18.97%,16.81%,16.81%,14.22%,9.91%,9.91%,9.48%,9.48%,6.9%,8.62%,8.19%,10.34%,6.9%,6.9%,5.6%,6.03%,4.74%,5.6%,5.6%,3.88%,5.6%,5.6%,4.31%,3.45%,6.47%
03/18/15,168.0,42.26%,25.6%,27.38%,17.86%,17.86%,17.26%,16.67%,16.07%,12.5%,8.93%,13.1%,5.95%,8.33%,8.33%,9.52%,7.14%,7.74%,4.17%,4.17%,4.76%,6.55%,7.14%,5.95%,5.36%,7.14%,4.76%,3.57%,4.76%,2.38%
03/17/15,167.0,43.71%,34.13%,28.14%,26.35%,26.95%,19.16%,16.17%,14.97%,11.98%,13.17%,8.98%,7.78%,7.78%,8.98%,5.39%,5.39%,7.78%,8.38%,5.99%,7.78%,4.19%,6.59%,8.38%,7.78%,3.59%,5.99%,3.59%,4.19%,5.39%
03/16/15,69.0,34.78%,34.78%,26.09%,23.19%,17.39%,18.84%,18.84%,10.14%,18.84%,11.59%,15.94%,7.25%,8.7%,8.7%,11.59%,14.49%,11.59%,7.25%,5.8%,5.8%,10.14%,8.7%,2.9%,1.45%,0%,5.8%,5.8%,8.7%,7.25%
