"",,Days Since Install
Install Date,Cohort Size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
02/10/15,230.0,43.04%,26.52%,19.13%,17.83%,18.7%,12.61%,13.48%,12.17%,14.35%,15.22%,16.09%,10%,10%,11.3%,9.13%,8.26%,8.7%,8.7%,7.39%,8.7%,6.96%,6.52%,5.22%,7.83%,6.52%,3.91%,4.78%,3.04%,3.04%
02/09/15,262.0,38.55%,25.95%,22.9%,20.61%,19.08%,14.5%,14.89%,11.07%,11.07%,9.54%,7.25%,9.54%,9.92%,6.49%,8.4%,6.87%,6.49%,5.73%,6.49%,4.96%,5.34%,4.2%,4.58%,5.34%,4.58%,4.2%,4.96%,4.2%,3.44%
02/08/15,233.0,46.78%,31.76%,28.33%,25.32%,25.32%,21.46%,21.89%,16.74%,13.3%,14.16%,14.59%,15.02%,12.45%,10.3%,11.16%,9.01%,8.58%,6.44%,5.15%,9.44%,6.87%,6.44%,6.01%,6.01%,6.87%,8.15%,5.58%,4.72%,5.58%
02/07/15,234.0,39.32%,25.64%,20.09%,19.66%,20.94%,16.67%,17.52%,14.53%,13.68%,14.53%,11.97%,12.39%,9.83%,11.11%,7.69%,6.41%,8.12%,7.69%,6.41%,6.41%,7.26%,5.56%,5.13%,6.84%,7.69%,5.56%,4.7%,5.56%,5.56%
02/06/15,242.0,37.6%,26.03%,21.9%,19.01%,20.25%,17.77%,16.53%,17.77%,16.12%,10.74%,10.33%,9.09%,11.57%,11.57%,9.5%,9.09%,6.61%,6.2%,7.02%,7.44%,8.26%,7.85%,5.37%,3.72%,3.72%,4.96%,6.2%,5.79%,4.55%
02/05/15,222.0,40.09%,29.73%,21.17%,18.02%,15.32%,13.96%,13.51%,13.06%,9.91%,8.56%,9.01%,9.01%,9.01%,8.11%,7.66%,9.91%,5.41%,6.31%,4.95%,6.76%,7.21%,4.95%,5.86%,4.95%,5.41%,3.6%,4.05%,3.15%,4.05%
02/04/15,220.0,51.82%,33.64%,24.09%,18.64%,21.36%,18.64%,15%,16.36%,11.82%,16.36%,12.73%,13.18%,9.55%,12.73%,10%,12.27%,10.45%,8.18%,10.45%,10.45%,7.27%,6.82%,7.27%,7.27%,8.18%,5.91%,6.82%,5%,4.55%
02/03/15,229.0,47.6%,31.88%,30.13%,21.4%,20.09%,17.9%,16.59%,13.97%,11.79%,10.48%,12.66%,10.92%,6.11%,9.17%,10.48%,8.73%,6.99%,10.04%,6.99%,7.86%,6.99%,6.55%,6.99%,6.55%,5.68%,5.24%,5.68%,6.99%,5.24%
02/02/15,273.0,42.49%,30.04%,29.3%,24.18%,21.25%,18.32%,18.32%,15.02%,12.09%,12.82%,12.09%,14.29%,10.62%,9.89%,10.62%,9.52%,10.62%,8.79%,8.06%,6.23%,6.59%,8.42%,9.89%,5.13%,4.03%,5.49%,6.23%,4.4%,7.69%
02/01/15,272.0,42.65%,31.99%,24.26%,20.96%,22.79%,20.96%,18.01%,13.97%,15.44%,12.5%,12.13%,10.29%,12.13%,9.19%,8.82%,9.56%,8.82%,8.46%,8.46%,8.46%,7.35%,6.62%,6.62%,5.88%,6.25%,6.25%,5.51%,9.56%,5.15%
01/31/15,285.0,37.19%,25.96%,20.35%,18.95%,17.54%,14.74%,13.33%,12.63%,9.82%,8.77%,6.32%,7.72%,7.72%,8.07%,8.07%,4.91%,5.96%,4.56%,6.67%,5.61%,6.32%,7.02%,3.51%,4.91%,4.56%,4.91%,4.56%,2.81%,3.86%
01/30/15,258.0,38.37%,27.13%,24.03%,15.89%,15.89%,10.47%,15.5%,12.4%,8.14%,8.14%,9.69%,8.14%,4.65%,8.91%,9.3%,9.3%,9.3%,7.36%,6.59%,4.65%,6.59%,5.81%,5.81%,3.88%,5.43%,5.43%,4.65%,4.65%,7.36%
01/29/15,335.0,43.28%,31.34%,24.78%,23.28%,22.09%,21.49%,17.91%,14.93%,12.84%,13.73%,9.85%,9.85%,11.04%,7.76%,8.36%,10.75%,9.85%,8.06%,7.16%,7.76%,8.36%,7.46%,6.57%,5.67%,5.97%,6.87%,4.48%,5.97%,4.18%
01/28/15,292.0,37.67%,25.34%,24.32%,18.84%,20.21%,17.81%,17.12%,14.04%,13.7%,10.96%,10.27%,12.33%,12.67%,9.93%,9.59%,9.93%,8.22%,7.53%,6.51%,6.16%,5.48%,6.51%,7.88%,7.53%,6.85%,4.79%,3.08%,4.11%,5.48%
01/27/15,266.0,40.98%,35.71%,27.07%,21.43%,16.17%,15.41%,15.04%,13.16%,12.78%,9.77%,10.15%,9.02%,9.4%,7.89%,8.65%,6.77%,6.02%,7.52%,5.64%,4.89%,3.38%,4.51%,6.02%,5.64%,3.76%,2.63%,4.51%,4.89%,5.26%
01/26/15,324.0,41.36%,30.56%,26.23%,22.84%,23.46%,18.83%,16.36%,14.51%,12.35%,11.42%,12.04%,11.42%,9.88%,8.95%,7.72%,6.48%,6.17%,5.56%,7.72%,7.72%,5.86%,4.94%,5.56%,6.79%,6.17%,6.48%,6.79%,5.56%,4.32%
01/25/15,349.0,40.69%,31.23%,27.22%,22.06%,20.06%,18.62%,16.91%,14.61%,10.89%,12.89%,10.89%,8.31%,10.32%,9.46%,8.02%,9.17%,10.03%,8.31%,5.44%,7.16%,6.88%,5.44%,6.59%,5.16%,6.3%,5.73%,4.01%,6.3%,5.16%
01/24/15,375.0,37.07%,25.07%,20.53%,18.67%,18.4%,17.33%,16.27%,14.67%,12.27%,10.67%,10.4%,9.33%,8.8%,10.67%,7.73%,6.67%,5.33%,5.33%,4%,5.87%,4.8%,4.8%,4.27%,5.07%,4.8%,6.4%,4.8%,6.93%,5.33%
01/23/15,405.0,39.75%,26.17%,19.75%,19.01%,20.49%,16.79%,15.31%,13.09%,10.37%,11.85%,9.38%,8.4%,8.64%,7.65%,8.4%,8.15%,6.42%,5.68%,6.17%,6.17%,5.93%,5.68%,4.69%,4.94%,4.69%,5.19%,5.93%,4.44%,5.93%
01/22/15,330.0,43.94%,33.03%,26.67%,23.94%,24.24%,20.3%,19.39%,17.58%,16.06%,13.03%,14.55%,10.3%,12.12%,11.52%,10.91%,10%,9.09%,7.88%,6.06%,7.27%,8.18%,4.24%,6.97%,6.67%,6.36%,5.15%,6.97%,6.67%,5.45%
01/21/15,396.0,46.97%,30.05%,24.24%,19.44%,19.44%,16.41%,16.16%,16.92%,12.63%,12.12%,9.6%,10.61%,9.34%,6.31%,7.32%,8.59%,7.07%,5.05%,6.06%,4.29%,5.81%,3.79%,5.3%,6.82%,4.8%,4.29%,5.05%,4.8%,6.06%
01/20/15,417.0,39.81%,29.26%,25.66%,22.3%,21.1%,18.47%,17.27%,15.59%,13.67%,11.75%,13.91%,12.47%,9.59%,10.79%,10.79%,9.59%,7.67%,10.07%,7.19%,6.71%,6%,6.71%,7.19%,6.71%,6.24%,6.24%,6%,6.95%,6.95%
01/19/15,437.0,40.5%,29.29%,24.71%,23.57%,19.45%,16.25%,15.33%,14.42%,11.9%,11.44%,11.67%,9.15%,8.01%,10.53%,8.24%,7.55%,5.95%,6.86%,6.86%,6.86%,4.58%,5.26%,3.89%,3.89%,5.49%,4.58%,5.72%,6.18%,4.12%
01/18/15,411.0,42.82%,28.47%,25.3%,23.36%,22.87%,18.25%,17.03%,13.14%,13.87%,11.44%,12.17%,10.71%,8.03%,9.25%,7.79%,5.11%,6.08%,4.87%,5.6%,6.57%,6.08%,5.11%,5.11%,6.08%,4.87%,5.35%,6.33%,3.16%,3.16%
01/17/15,434.0,42.86%,32.03%,28.57%,24.19%,21.66%,19.35%,17.74%,15.9%,15.44%,12.9%,11.29%,11.75%,11.52%,9.91%,6.68%,8.06%,7.6%,6.22%,5.53%,6.22%,7.14%,4.61%,5.07%,4.38%,5.3%,4.15%,3.46%,5.3%,3.69%
01/16/15,416.0,41.35%,28.61%,24.04%,21.39%,20.19%,18.99%,17.07%,15.62%,12.74%,9.38%,11.06%,9.62%,9.62%,8.89%,9.86%,5.05%,6.73%,6.97%,4.81%,4.09%,3.12%,5.29%,4.57%,3.85%,3.12%,2.88%,2.88%,3.37%,3.12%
01/15/15,406.0,45.07%,30.3%,27.34%,22.66%,20.94%,19.21%,16.75%,14.78%,10.59%,10.84%,10.84%,8.62%,9.61%,8.87%,9.61%,7.39%,7.39%,4.93%,3.69%,4.43%,4.43%,3.69%,3.69%,3.69%,2.71%,4.19%,3.45%,3.94%,2.46%
01/14/15,360.0,46.67%,33.61%,25%,21.11%,20.56%,14.72%,13.89%,14.44%,15%,12.5%,11.67%,8.89%,9.17%,7.5%,6.11%,6.94%,5%,8.33%,5.83%,5.83%,4.72%,5.28%,5.28%,5.83%,5.83%,6.11%,4.17%,5.28%,5.28%
01/13/15,348.0,41.95%,27.59%,20.4%,18.1%,14.66%,15.8%,12.93%,10.06%,10.06%,8.05%,9.2%,8.62%,6.61%,7.18%,4.6%,5.17%,6.61%,8.33%,4.6%,4.89%,2.59%,4.6%,4.6%,3.45%,6.03%,3.16%,4.6%,3.74%,3.45%
01/12/15,346.0,43.35%,30.35%,24.86%,20.23%,16.76%,13.87%,13.58%,11.56%,12.72%,9.25%,9.25%,9.83%,8.09%,7.8%,9.25%,6.65%,7.8%,6.65%,7.23%,8.38%,6.36%,5.2%,4.91%,5.2%,6.94%,6.65%,4.05%,4.34%,2.89%
01/11/15,301.0,40.53%,25.58%,19.6%,15.28%,15.61%,15.61%,13.95%,9.97%,10.3%,10.63%,9.97%,9.3%,8.64%,6.31%,7.31%,5.98%,4.98%,4.98%,3.65%,5.32%,3.99%,5.32%,4.32%,2.99%,3.65%,3.99%,4.65%,4.65%,3.32%
01/10/15,331.0,45.32%,31.72%,23.87%,22.05%,19.34%,17.52%,15.41%,15.11%,13.6%,12.99%,14.2%,12.08%,11.18%,10.88%,10.57%,9.67%,10.57%,8.46%,8.76%,9.06%,5.44%,7.55%,7.55%,5.74%,6.04%,3.63%,5.14%,5.74%,3.63%
01/09/15,291.0,41.24%,23.02%,24.74%,15.81%,14.09%,14.43%,11%,11.34%,11.34%,8.25%,6.87%,8.59%,5.84%,7.9%,5.84%,6.53%,7.9%,5.15%,4.12%,3.78%,3.44%,2.75%,3.44%,2.41%,3.44%,2.06%,3.44%,3.09%,3.78%
01/08/15,307.0,44.95%,32.9%,21.5%,18.24%,17.92%,14.98%,11.07%,10.1%,11.4%,9.77%,8.47%,8.79%,8.79%,5.86%,4.89%,3.91%,3.58%,3.91%,3.58%,2.28%,2.93%,2.28%,2.28%,3.91%,3.58%,3.26%,3.26%,2.93%,4.23%
01/07/15,313.0,37.7%,23.96%,20.77%,15.65%,13.1%,12.78%,12.14%,11.5%,10.54%,9.58%,8.31%,8.31%,9.58%,7.03%,6.07%,7.67%,6.07%,6.07%,5.11%,5.43%,7.03%,5.11%,6.07%,5.43%,5.11%,4.47%,5.11%,5.43%,4.47%
01/06/15,301.0,38.54%,31.23%,25.25%,22.26%,16.61%,17.28%,12.96%,12.96%,11.63%,11.63%,8.64%,8.31%,8.64%,7.31%,6.98%,7.97%,8.97%,7.31%,6.64%,6.64%,7.64%,6.31%,6.98%,6.98%,4.65%,3.65%,4.32%,2.99%,4.32%
01/05/15,263.0,41.44%,28.14%,22.05%,16.73%,14.45%,11.79%,11.79%,9.89%,8.37%,7.6%,7.6%,7.22%,6.84%,6.46%,6.84%,4.94%,6.08%,6.08%,5.32%,5.32%,6.08%,4.56%,4.56%,3.42%,3.8%,3.42%,2.66%,1.9%,2.28%
Overall,26512.0,42.13%,29.26%,24.02%,20.63%,19.23%,16.94%,15.27%,13.7%,12.18%,11.25%,10.73%,9.89%,9.11%,8.98%,8.03%,7.6%,7.11%,6.74%,6.34%,6.2%,5.79%,5.44%,5.24%,5.15%,4.9%,4.56%,4.53%,4.49%,4.28%
