@relation 'JNC Dataset Android 0511-0911 - Training Set-weka.filters.unsupervised.attribute.Remove-R1,4-9,18'

@attribute 'Cohort Size' numeric
@attribute 'Day 1' numeric
@attribute CrashesANRDay1 numeric
@attribute DailyAverageRating numeric
@attribute LevelFailedEvents numeric
@attribute LevelSuccessEvents numeric
@attribute LevelPlayedEvents numeric
@attribute Sessions numeric
@attribute MKTExpenses numeric
@attribute TotalPurchases numeric
@attribute ActiveUsersDay7 numeric
@attribute MedianSessionSeconds numeric
@attribute AvgSessionSeconds numeric

@data
400,37.5,1,4.4,29183,10087,39270,22403,0,17,6733,351,538
413,41.16,1,4.71,32339,10728,43067,22647,0,16,6899,397,588
413,37.29,0,4.11,31467,10300,41768,22571,0,22,6894,402,604
434,39.63,0,4.18,29839,9921,39760,23001,0,27,6757,369,560
404,37.62,0,4.3,29188,10030,39218,22439,0,18,6731,365,565
433,39.26,0,3.33,30067,10303,40370,21826,0,31,6548,342,545
443,40.86,3,3.8,29301,10040,39341,21811,0,22,6536,389,567
490,35.71,2,4.88,29098,10030,39128,22142,0,15,6580,377,592
480,40,2,4.44,30735,10953,41688,22292,0,10,6792,398,576
429,41.03,0,5,30833,10034,40867,21681,0,17,6631,360,535
448,38.39,1,3.78,29398,9540,38940,21608,0,19,6682,346,529
444,40.32,0,5,30998,10225,41224,22768,0,18,6552,357,546
384,37.5,0,4,29689,9925,39615,22371,0,29,6511,361,538
378,38.62,1,2.25,29757,9440,39197,21346,0,16,6451,350,584
451,39.47,1,3.8,29867,9900,39767,21674,0,30,6465,302,529
399,37.34,1,4.11,32914,10473,43387,22719,0,24,6772,377,565
399,40.1,1,3.75,30847,9699,40547,22201,0,20,6456,350,536
428,39.95,1,4.71,29637,9761,39400,22085,0,19,6558,335,538
431,37.35,2,3.4,29529,9925,39455,21946,0,14,6377,364,555
461,40.56,1,3.71,29194,10375,39569,22113,0,18,6510,354,550
456,37.72,0,4,27528,9864,37392,21299,0,17,6272,324,568
466,37.55,1,3.25,29366,10306,39673,23118,0,28,6342,252,476
496,38.51,0,4.08,31081,10692,41773,22464,0,27,6631,289,540
441,37.41,1,3.71,29477,9657,39134,22044,0,18,6286,298,539
474,39.66,1,4,28367,9700,38067,21735,0,23,6204,329,523
452,41.15,0,4.67,27317,9405,36724,20839,0,15,6101,332,513
431,32.48,0,4.2,28478,9983,38462,21480,0,15,6126,296,495
391,39.64,0,4.5,27066,9955,37022,21196,0,14,6072,274,486
445,40,1,4,27974,9925,37901,23404,0,17,6110,283,508
425,38.82,0,4,31176,10994,42171,24678,0,27,6281,341,556
366,38.8,0,4.13,28673,9743,38418,22482,0,11,6308,306,518
368,39.67,0,4.4,27652,8961,36613,20949,0,23,6084,314,503
371,36.93,1,5,26876,8779,35655,20489,0,14,5928,356,543
403,37.97,0,4,28299,9259,37559,21853,0,15,5881,378,544
415,40.48,0,5,26181,9153,35337,21384,0,12,5792,358,557
443,36.34,0,4.5,27794,9551,37345,22188,0,22,5975,346,558
416,44.95,1,2.67,29486,10194,39683,21835,0,30,6238,358,541
409,36.43,1,3.86,30139,10491,40632,23280,0,20,5917,389,574
370,35.14,1,4.8,27698,9639,37337,21410,0,14,5767,344,511
356,31.18,0,5,26075,9129,35205,19440,0,20,5625,336,526
349,33.52,0,4.33,27478,9326,36806,19877,0,13,5760,334,527
341,36.07,0,4.33,25326,8463,33790,18727,0,23,5545,250,496
1244,37.38,6,4.2,47548,24375,71925,39357,145.34,74,11332,426,661
1309,41.33,9,4.4,50291,25977,76269,40791,224.33,72,10753,410,598
1246,37.8,18,4.43,47236,24326,71564,38924,173.55,60,10833,417,598
1481,38.62,11,4.21,47664,25812,73477,39670,165.2,94,10520,413,648
1749,35.73,13,4.46,48922,27670,76593,41144,197.68,84,10559,423,613
2068,36.75,10,4.15,52382,32637,85020,43865,200.02,99,10841,406,602
1433,32.73,7,4.58,50857,28176,79034,41067,194.89,108,11169,410,584
1054,33.68,10,4.37,44697,22100,66798,36728,193.51,95,10769,420,632
1000,33.8,11,4.5,42108,20800,62911,34303,154.13,55,10390,412,599
1140,35.53,11,4.44,42749,21592,64341,34475,154.05,56,11412,402,578
993,33.64,10,4.3,40910,19994,60904,33441,145.08,50,11585,412,571
1038,35.65,9,4.5,40620,20104,60724,33334,142.33,90,11742,416,591
1227,34.23,8,4.33,41519,22804,64323,34334,180.24,81,12175,419,592
1304,32.13,9,4.15,44487,24615,69102,36318,195.9,78,12081,405,583
1222,33.22,7,4.17,40440,21340,61780,33784,170.21,79,10970,421,591
1230,34.39,9,3.94,38494,20748,59243,32301,146.67,68,10674,412,618
1979,39.16,18,4.07,42507,26187,68694,35196,131.88,51,10261,403,582
1984,37.9,19,4.23,42512,26550,69063,35016,131.11,55,10159,394,580
2044,39.29,9,3.86,43049,27878,70927,36120,147.75,61,10204,391,576
2000,37.9,16,4.23,46764,28978,75744,37451,143.66,61,10565,405,594
1608,32.15,12,4.04,49344,28462,77807,38785,176.54,86,10564,411,590
1135,35.33,17,4.23,43570,21791,65361,34097,163.07,76,10055,420,614
1099,35.94,11,4.38,42176,20632,62809,33760,148.27,57,9726,399,590
1057,34.63,6,4.15,40539,20490,61029,32043,139.32,64,10233,387,565
1052,32.6,6,3.79,41050,19833,60885,32453,159.82,53,10293,389,558
1058,35.35,13,3.92,39561,20258,59820,31592,158.43,69,10457,409,586
1269,35.7,16,4.07,40798,21797,62596,33239,176.39,80,11037,406,580
1236,36.17,5,4.51,41700,21572,63274,33631,194.15,69,11290,396,585
1110,31.35,13,4.28,42004,20997,63001,32531,174.77,60,10189,410,611
1061,36.57,8,3.98,38471,18843,57314,30699,187.99,72,10726,402,591
1037,37.03,7,4.28,36575,17281,53858,32116,158.84,68,10272,397,576
913,36.8,7,4.11,36353,16089,52443,32988,142.72,77,10106,396,554
1024,40.92,12,3.76,37779,16703,54482,34228,117.42,65,9990,391,563
1466,40.52,4,4.02,38013,20158,58172,35167,58.07,56,10311,399,553
1599,36.09,14,4.35,38680,21205,59885,35439,42.28,84,10718,396,562
1332,38.81,17,4.06,34782,17822,52604,31890,64.47,62,10530,392,554
1267,40.41,17,3.65,37726,18589,56316,34624,73.51,62,10217,386,563
948,43.04,19,4,35823,16720,52544,33064,53.97,50,10803,390,543
912,41.34,19,4.16,35412,16191,51603,32662,59.34,86,11307,390,594
941,37.19,5,4,34273,15000,49274,31759,60.29,75,12006,390,575
1120,39.55,15,4.38,36435,17847,54283,33528,92.41,80,12512,405,572
1189,40.2,15,4.42,38196,18446,56642,34657,108.86,77,12503,396,592
1037,40.31,23,4.61,37191,17157,54349,34891,101.09,61,10981,409,578
1000,39.5,10,4.25,35380,15623,51003,33045,91.05,82,10738,393,586
1465,41.64,4,4.37,36690,19985,56676,34893,98.19,56,10595,387,563
1884,42.25,9,3.95,36093,21225,57318,35639,101.06,78,10507,385,553
2257,39.96,15,4.43,38361,23567,61931,37142,97.38,55,10405,386,552
2236,40.56,13,4.45,40438,25197,65635,39007,137.74,55,10956,388,595
1932,37.32,8,4.34,43617,25274,68893,40018,148.36,77,11135,387,563
1064,38.72,11,3.92,39004,18185,57190,35168,119.33,60,10614,399,559
1097,41.29,5,3.89,37079,16834,53915,33737,78.53,45,10922,401,609
892,37.89,7,4.11,35989,17554,53545,33698,64.65,66,11216,383,580
887,41.04,8,4.07,36631,19539,56170,35007,57.95,66,11412,394,597
871,40.64,12,3.69,34474,17616,52090,32730,71.72,91,11285,394,603
1418,42.17,6,4,36389,21414,57804,34795,64,96,11078,385,585
1322,37.97,11,4.22,39042,21534,60576,35214,71.29,73,10681,380,595
1257,41.77,17,4.32,37313,20144,57457,33728,0.9,90,10255,392,592
1593,42.18,8,3.79,37827,21421,59249,34176,19.62,65,10130,387,565
1633,42.93,7,3.86,38158,22216,60376,34026,72.59,56,9741,366,547
1698,38.75,7,3.81,39498,22782,62280,34559,69.76,77,9478,371,558
1523,41.5,7,4.3,39463,22976,62439,34447,56.91,65,9465,364,536
1107,40.38,5,4,39235,20452,59687,34122,53.04,61,9764,383,544
893,36.95,5,4.53,38504,17966,56470,33203,42.8,87,9930,373,534
791,42.6,5,4.4,36786,15964,52750,31857,47.18,65,9751,380,554
729,40.74,7,4.42,37537,15804,53341,31536,60.39,85,10328,386,574
608,39.97,3,4.1,35678,14487,50165,30805,62.53,61,10409,390,579
627,38.28,7,4.05,34176,13818,47994,29439,36.43,71,10106,390,581
673,39.97,6,5,33570,14350,47921,29108,64.27,57,9624,379,563
938,37.42,1,4.32,36142,16199,52341,30213,60.07,75,9791,376,572
1008,37.2,9,4.23,35616,17192,52808,30036,61,84,9665,372,580
1169,41.49,8,4.42,34776,16926,51702,29995,45.58,44,9110,378,556
1627,39.09,2,4.22,35817,19792,55609,31195,48.2,51,8713,362,536
1476,41.33,7,4.33,36837,20559,57396,31436,55.72,63,8712,350,521
1232,40.02,4,4.36,35619,18419,54040,29909,57.74,53,8770,345,502
819,37.36,6,4.54,34931,16252,51184,29424,76.18,54,8905,353,522
769,35.37,6,4.06,37295,16475,53771,30310,78.73,78,9515,352,513
683,32.5,14,4.29,37522,14877,52399,29977,70.86,75,10384,354,530
575,36.7,3,4.25,34629,13506,48136,27797,85.04,52,9910,372,545
