Date,Median Session Length,Total Time Spent in App,Avg Session Length
" 03/05/15 ","5 min 13 sec","17 dy 14 hr 51 min 50 sec","7 min 7 sec"
" 03/04/15 ","5 min 12 sec","17 dy 9 hr 20 min 27 sec","7 min 2 sec"
" 03/03/15 ","4 min 56 sec","18 dy 3 hr 31 min 54 sec","7 min 1 sec"
" 03/02/15 ","5 min 9 sec","18 dy 13 hr 34 min 23 sec","7 min 2 sec"
" 03/01/15 ","5 min 12 sec","17 dy 14 hr 43 min 5 sec","7 min 11 sec"
" 02/28/15 ","4 min 22 sec","18 dy 8 hr 10 min 47 sec","6 min 34 sec"
" 02/27/15 ","5 min 6 sec","21 dy 20 hr 25 min 42 sec","7 min 28 sec"
" 02/26/15 ","5 min 2 sec","20 dy 19 hr 40 min 45 sec","6 min 57 sec"
" 02/25/15 ","4 min 56 sec","19 dy 10 hr 57 min 13 sec","7 min 1 sec"
" 02/24/15 ","5 min 9 sec","21 dy 8 hr 53 min 58 sec","7 min 12 sec"
" 02/23/15 ","4 min 51 sec","21 dy 3 hr 30 min 22 sec","6 min 53 sec"
" 02/22/15 ","4 min 45 sec","22 dy 1 hr 32 min 16 sec","7 min 1 sec"
" 02/21/15 ","4 min 57 sec","24 dy 12 hr 21 min 52 sec","7 min 12 sec"
" 02/20/15 ","5 min 5 sec","24 dy 6 hr 11 min 15 sec","7 min 7 sec"
" 02/19/15 ","4 min 57 sec","24 dy 7 hr 59 min 49 sec","7 min 0 sec"
" 02/18/15 ","5 min 2 sec","26 dy 18 hr 17 min 3 sec","7 min 5 sec"
" 02/17/15 ","4 min 24 sec","23 dy 16 hr 51 min 54 sec","6 min 43 sec"
" 02/16/15 ","5 min 2 sec","23 dy 8 hr 44 min 28 sec","7 min 7 sec"
" 02/15/15 ","4 min 41 sec","23 dy 22 hr 11 min 8 sec","6 min 58 sec"
" 02/14/15 ","4 min 37 sec","25 dy 14 hr 24 min 10 sec","7 min 26 sec"
" 02/13/15 ","4 min 31 sec","19 dy 3 hr 8 min 27 sec","6 min 49 sec"
" 02/12/15 ","3 min 55 sec","17 dy 17 hr 8 min 8 sec","6 min 25 sec"
" 02/11/15 ","3 min 59 sec","18 dy 15 hr 58 min 5 sec","6 min 28 sec"
" 02/10/15 ","3 min 52 sec","19 dy 15 hr 44 sec","6 min 22 sec"
" 02/09/15 ","3 min 51 sec","18 dy 18 hr 2 min 38 sec","6 min 34 sec"
" 02/08/15 ","3 min 58 sec","19 dy 11 min 37 sec","6 min 40 sec"
" 02/07/15 ","4 min 8 sec","20 dy 21 hr 55 min 25 sec","6 min 26 sec"
