@relation 'JNC Dataset Android 0511-0911-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R3-8-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R11'

@attribute 'Cohort Size' numeric
@attribute 'Day 1' numeric
@attribute CrashesANRDay1 numeric
@attribute DailyAverageRating numeric
@attribute LevelFailedEvents numeric
@attribute LevelSuccessEvents numeric
@attribute LevelPlayedEvents numeric
@attribute Sessions numeric
@attribute MKTExpenses numeric
@attribute TotalPurchases numeric
@attribute ActiveUsersDay7 {'\'(-inf-6351.4]\'','\'(6351.4-7157.8]\'','\'(7157.8-7964.2]\'','\'(7964.2-8770.6]\'','\'(8770.6-inf)\''}
@attribute MedianSessionSeconds numeric
@attribute AvgSessionSeconds numeric

@data
781,32.14,2,4.11,1730,2511,13797,16646,0,12,'\'(7157.8-7964.2]\'',526,795
670,34.33,2,3.93,1658,2598,13178,16486,0,14,'\'(7157.8-7964.2]\'',496,777
720,37.36,2,4.27,1519,2302,12027,15980,0,10,'\'(7157.8-7964.2]\'',512,856
712,31.74,3,3.78,1425,2267,11602,15869,0,33,'\'(7157.8-7964.2]\'',490,831
780,36.41,0,3.53,1378,2112,11759,16311,0,42,'\'(7157.8-7964.2]\'',446,674
756,35.32,0,4.62,1322,2029,11025,15802,0,28,'\'(7157.8-7964.2]\'',398,664
760,41.18,1,4.63,1205,1779,9796,15564,0,28,'\'(7157.8-7964.2]\'',379,564
810,33.58,0,4.38,1328,1966,11094,17104,0,27,'\'(7157.8-7964.2]\'',420,608
765,37.65,2,3.95,1248,1855,10146,16548,0,28,'\'(7157.8-7964.2]\'',432,646
763,38.14,1,4.25,1254,1921,10377,16871,0,27,'\'(7157.8-7964.2]\'',404,588
792,36.24,2,3.76,1197,1549,9401,16626,0,32,'\'(7157.8-7964.2]\'',428,601
741,37.52,2,4.91,1898,4255,16057,17920,0,19,'\'(7157.8-7964.2]\'',409,600
805,37.02,1,4.58,2327,6001,19970,18550,0,25,'\'(7157.8-7964.2]\'',403,574
714,39.78,0,4.21,2452,6299,21504,19179,0,19,'\'(7157.8-7964.2]\'',432,602
754,35.68,1,3.93,2658,7424,24569,20322,0,26,'\'(7157.8-7964.2]\'',427,603
677,39.73,0,4.5,3645,9516,32978,21429,0,22,'\'(7157.8-7964.2]\'',396,587
714,40.34,1,4.38,4194,10166,37101,21975,0,16,'\'(7157.8-7964.2]\'',389,580
641,38.07,1,4.67,4311,10722,38730,21751,0,32,'\'(7157.8-7964.2]\'',377,595
620,35.16,1,4.31,4451,11299,40536,22661,0,22,'\'(7157.8-7964.2]\'',408,582
582,37.11,0,4,4308,10428,38852,21768,0,33,'\'(7157.8-7964.2]\'',382,573
645,41.4,0,4.18,4371,11155,40442,21794,0,28,'\'(7157.8-7964.2]\'',380,555
669,38.42,1,4.33,4771,12515,45702,24334,0,27,'\'(7157.8-7964.2]\'',430,629
592,37.84,1,4.44,4594,11650,43393,23807,0,16,'\'(7157.8-7964.2]\'',359,549
546,37.55,2,3.8,4607,10900,42066,23562,0,28,'\'(7157.8-7964.2]\'',392,580
569,40.77,0,3.94,4540,10626,41008,23158,0,15,'\'(7157.8-7964.2]\'',385,582
553,36.89,1,4.21,4644,11040,42337,23050,0,15,'\'(7157.8-7964.2]\'',365,565
512,35.94,1,4.55,4506,10449,40285,22690,0,28,'\'(6351.4-7157.8]\'',348,533
520,37.69,2,4.4,4446,10779,41128,22854,0,21,'\'(6351.4-7157.8]\'',350,556
526,41.44,0,3.88,4628,11769,44675,23301,0,17,'\'(6351.4-7157.8]\'',418,606
514,40.66,0,5,4905,12153,46346,25627,0,14,'\'(6351.4-7157.8]\'',389,568
479,43.63,2,4.86,4671,11192,42899,23945,0,12,'\'(6351.4-7157.8]\'',339,534
496,38.71,2,3.9,4517,10923,41495,23147,0,11,'\'(6351.4-7157.8]\'',342,534
489,33.33,0,4.23,4522,10838,42273,23837,0,11,'\'(6351.4-7157.8]\'',394,566
400,40,2,4,4355,9997,39855,23040,0,25,'\'(6351.4-7157.8]\'',370,539
400,37.5,1,4.4,4248,10087,39270,22403,0,17,'\'(6351.4-7157.8]\'',351,538
413,41.16,1,4.71,4506,10728,43067,22647,0,16,'\'(6351.4-7157.8]\'',397,588
413,37.29,0,4.11,4415,10300,41768,22571,0,22,'\'(6351.4-7157.8]\'',402,604
434,39.63,0,4.18,4432,9921,39760,23001,0,27,'\'(6351.4-7157.8]\'',369,560
