@relation 'DNC Dataset Android 0511-0911-weka.filters.unsupervised.attribute.Remove-R1,18-weka.filters.unsupervised.attribute.Remove-R3-8'

@attribute 'Cohort Size' numeric
@attribute 'Day 1' numeric
@attribute CrashesANRDay1 numeric
@attribute DailyAverageRating numeric
@attribute LevelFailedEvents numeric
@attribute LevelSuccessEvents numeric
@attribute LevelPlayedEvents numeric
@attribute Sessions numeric
@attribute MKTExpenses numeric
@attribute TotalPurchases numeric
@attribute ActiveUsersDay7 numeric
@attribute AvgSessionSeconds numeric
@attribute MedianSessionSeconds numeric

@data
282,36.52,0,5,3969,3745,7742,1661,121.02,5,1414,458,306
304,34.87,0,5,4264,3978,8272,1877,90,12,1457,486,346
306,36.27,1,4.3,4335,3907,8268,1986,90,4,1425,476,331
301,36.54,0,4.63,4150,3882,8055,2808,91.31,13,1372,510,325
281,31.67,0,4.44,4351,3740,8116,4027,90,14,1381,473,294
271,40.59,1,4.62,4178,3827,8022,4360,86.97,17,1416,513,353
300,39.33,0,4.83,4339,3912,8272,4461,80,13,1367,496,354
253,36.36,0,5,3740,3675,7423,4935,80,12,1364,472,341
320,35,0,4.2,3854,3943,7816,4773,80,19,1340,498,312
294,34.01,2,4.8,4143,4187,8355,4717,80,18,1336,465,308
252,34.52,0,4.88,3579,3511,7126,4933,80,7,1323,508,336
282,37.94,1,3.88,3473,3326,6818,5397,90.05,11,1303,459,316
280,35.36,3,4.78,3771,3644,7436,5303,115,13,1218,491,337
289,32.53,0,4.73,3372,3318,6713,5686,115,11,1251,478,334
301,31.56,0,5,3536,3448,7002,6115,111.25,9,1250,496,338
289,36.33,0,4.81,3398,3564,6988,5358,105,3,1234,484,320
279,35.48,0,4.8,3570,3785,7377,5775,105,4,1205,522,365
252,30.56,0,4.82,3540,3441,7001,6481,93.46,5,1273,491,335
279,35.13,1,4.42,3255,3317,6589,6857,80,11,1272,467,319
214,35.51,0,4.58,3138,3046,6217,6542,80,2,1300,503,332
275,32,2,4.29,3102,3011,6137,6897,84.58,5,1412,468,307
254,33.86,0,4.5,3327,3250,6591,7380,81.94,5,3746,488,310
265,35.85,0,4.11,3004,3232,6247,8131,81.96,3,3724,501,325
290,36.21,0,4.56,2864,3365,6247,8839,80,5,3819,512,325
304,33.55,0,4.57,3462,3770,7242,10294,84.67,4,4097,505,327
286,39.86,0,4.56,3462,3658,7125,11947,82.9,3,4291,481,304
277,31.05,1,4.55,3374,3439,6818,12275,80,7,3950,531,333
466,33.91,0,4.22,3121,3519,6646,12644,80,4,3596,489,305
2722,31.12,3,4.01,4560,10294,14855,12248,80,1,2963,402,238
1988,30.23,4,3.96,6337,11593,17932,11506,80,4,2665,436,256
1884,32.43,0,4.17,7205,12668,19876,10605,86.4,3,2422,430,267
1991,34.96,2,4.37,7813,12978,20791,9485,88,5,2233,421,257
1867,32.24,2,4.21,8079,12782,20868,3567,81.46,5,2046,413,258
1386,33.77,0,4.1,8350,12081,20431,3568,66.4,18,1996,412,247
920,31.09,3,3.92,8985,11692,20678,3788,67.2,12,1991,437,282
337,32.94,4,4.19,8613,8784,17400,3705,65.6,3,2016,440,278
297,34.01,1,4,7501,7496,15002,3233,72.8,6,1935,449,281
286,32.52,0,4.16,6913,6866,13779,3367,81.6,4,1776,455,288
275,34.18,0,3.71,6851,6259,13111,3485,92,4,1831,489,312
247,30.36,1,4.23,6235,5711,11947,3393,81.6,5,1769,479,296
261,36.4,1,4.16,6085,5453,11540,3236,76,3,1683,488,315
292,35.27,2,4.39,6078,5637,11718,3386,77.6,2,1690,485,298
