Date,Median Session Length,Total Time Spent in App,Avg Session Length
" 02/10/15 ","5 min 43 sec","5 mo 12 dy 23 hr 39 min 58 sec","8 min 39 sec"
" 02/09/15 ","5 min 45 sec","5 mo 4 dy 2 hr 27 min 48 sec","8 min 51 sec"
" 02/08/15 ","5 min 56 sec","5 mo 24 dy 9 hr 54 min 40 sec","9 min 5 sec"
" 02/07/15 ","5 min 45 sec","5 mo 16 dy 16 hr 39 min 25 sec","8 min 44 sec"
" 02/06/15 ","5 min 41 sec","5 mo 9 dy 14 hr 3 min 22 sec","8 min 30 sec"
" 02/05/15 ","5 min 30 sec","4 mo 26 dy 11 hr 3 min 2 sec","8 min 4 sec"
" 02/04/15 ","5 min 49 sec","5 mo 3 dy 14 hr 55 min 3 sec","8 min 40 sec"
" 02/03/15 ","6 min 19 sec","5 mo 6 dy 3 min 3 sec","9 min 4 sec"
" 02/02/15 ","6 min 30 sec","5 mo 24 dy 1 hr 57 min 6 sec","9 min 27 sec"
" 02/01/15 ","6 min 22 sec","5 mo 27 dy 16 hr 25 min 24 sec","9 min 28 sec"
" 01/31/15 ","6 min 18 sec","5 mo 22 dy 5 hr 51 min 22 sec","9 min 14 sec"
" 01/30/15 ","6 min 25 sec","5 mo 19 dy 4 hr 24 min 35 sec","9 min 32 sec"
" 01/29/15 ","6 min 26 sec","5 mo 21 dy 14 hr 31 min 22 sec","9 min 25 sec"
" 01/28/15 ","6 min 26 sec","5 mo 19 dy 9 hr 17 min 30 sec","9 min 24 sec"
" 01/27/15 ","6 min 25 sec","5 mo 22 dy 20 hr 21 sec","9 min 8 sec"
" 01/26/15 ","6 min 30 sec","6 mo 3 dy 14 hr 4 min 14 sec","9 min 35 sec"
" 01/25/15 ","6 min 45 sec","7 mo 8 dy 22 hr 56 min 2 sec","10 min 4 sec"
" 01/24/15 ","6 min 46 sec","7 mo 8 hr 57 min 39 sec","9 min 59 sec"
" 01/23/15 ","6 min 30 sec","6 mo 14 dy 20 hr 14 min 27 sec","9 min 40 sec"
" 01/22/15 ","6 min 35 sec","6 mo 14 dy 5 hr 35 min 22 sec","9 min 58 sec"
" 01/21/15 ","6 min 32 sec","6 mo 7 dy 14 hr 11 min 28 sec","9 min 36 sec"
" 01/20/15 ","6 min 7 sec","5 mo 9 dy 12 hr 3 min 22 sec","8 min 54 sec"
" 01/19/15 ","6 min 13 sec","5 mo 24 dy 7 hr 18 min 56 sec","9 min 17 sec"
" 01/18/15 ","6 min 29 sec","6 mo 10 dy 17 hr 44 min 16 sec","9 min 25 sec"
" 01/17/15 ","6 min 22 sec","6 mo 14 hr 52 min 39 sec","9 min 25 sec"
" 01/16/15 ","6 min 16 sec","5 mo 17 dy 4 hr 32 min 35 sec","9 min 0 sec"
" 01/15/15 ","6 min 14 sec","5 mo 19 dy 16 hr 28 min 43 sec","9 min 7 sec"
" 01/14/15 ","6 min 23 sec","5 mo 28 dy 11 hr 44 min 38 sec","9 min 17 sec"
" 01/13/15 ","6 min 22 sec","5 mo 23 dy 22 hr 7 min 44 sec","9 min 8 sec"
" 01/12/15 ","6 min 10 sec","6 mo 4 dy 15 hr 24 min 41 sec","9 min 3 sec"
" 01/11/15 ","6 min 40 sec","7 mo 7 dy 7 hr 23 min 6 sec","9 min 33 sec"
" 01/10/15 ","6 min 29 sec","7 mo 21 dy 2 hr 18 min 31 sec","9 min 33 sec"
" 01/09/15 ","6 min 16 sec","7 mo 1 dy 8 hr 57 min 1 sec","9 min 18 sec"
" 01/08/15 ","6 min 15 sec","6 mo 22 dy 9 hr 21 min 46 sec","9 min 10 sec"
" 01/07/15 ","6 min 11 sec","6 mo 16 dy 18 hr 59 min 55 sec","9 min 2 sec"
" 01/06/15 ","6 min 25 sec","7 mo 4 dy 8 hr 37 min 41 sec","9 min 24 sec"
" 01/05/15 ","6 min 14 sec","6 mo 16 dy 29 min 59 sec","8 min 57 sec"
