Incomplete,Date,Events,% of Events
"","2015/06/23"," 6818 "," 0.7% "
"","2015/06/24"," 7436 "," 0.7% "
"","2015/06/25"," 6713 "," 0.7% "
"","2015/06/26"," 7002 "," 0.7% "
"","2015/06/27"," 6988 "," 0.7% "
"","2015/06/28"," 7377 "," 0.7% "
"","2015/06/29"," 7001 "," 0.7% "
"","2015/06/30"," 6589 "," 0.6% "
"","2015/07/01"," 6217 "," 0.6% "
"","2015/07/02"," 6137 "," 0.6% "
"","2015/07/03"," 6591 "," 0.6% "
"","2015/07/04"," 6247 "," 0.6% "
"","2015/07/05"," 6247 "," 0.6% "
"","2015/07/06"," 7242 "," 0.7% "
"","2015/07/07"," 7125 "," 0.7% "
"","2015/07/08"," 6818 "," 0.7% "
"","2015/07/09"," 6646 "," 0.6% "
"","2015/07/10"," 14855 "," 1.4% "
"","2015/07/11"," 17932 "," 1.7% "
"","2015/07/12"," 19876 "," 1.9% "
"","2015/07/13"," 20791 "," 2.0% "
"","2015/07/14"," 20868 "," 2.0% "
"","2015/07/15"," 20431 "," 2.0% "
"","2015/07/16"," 20678 "," 2.0% "
"","2015/07/17"," 17400 "," 1.7% "
"","2015/07/18"," 15002 "," 1.5% "
"","2015/07/19"," 13779 "," 1.3% "
"","2015/07/20"," 13111 "," 1.3% "
"","2015/07/21"," 11947 "," 1.2% "
"","2015/07/22"," 11540 "," 1.1% "
"","2015/07/23"," 11718 "," 1.1% "
"","2015/07/24"," 11196 "," 1.1% "
"","2015/07/25"," 10436 "," 1.0% "
"","2015/07/26"," 9655 "," 0.9% "
"","2015/07/27"," 10498 "," 1.0% "
"","2015/07/28"," 9382 "," 0.9% "
"","2015/07/29"," 9036 "," 0.9% "
"","2015/07/30"," 9221 "," 0.9% "
"","2015/07/31"," 8586 "," 0.8% "
"","2015/08/01"," 8102 "," 0.8% "
"","2015/08/02"," 8267 "," 0.8% "
"","2015/08/03"," 8633 "," 0.8% "
"","2015/08/04"," 7722 "," 0.7% "
"","2015/08/05"," 7695 "," 0.7% "
"","2015/08/06"," 7119 "," 0.7% "
"","2015/08/07"," 4543 "," 0.4% "
"","2015/08/08"," 3270 "," 0.3% "
"","2015/08/09"," 2990 "," 0.3% "
"","2015/08/10"," 2833 "," 0.3% "
"","2015/08/11"," 2403 "," 0.2% "
"","2015/08/12"," 3868 "," 0.4% "
"","2015/08/13"," 4858 "," 0.5% "
"","2015/08/14"," 5379 "," 0.5% "
"","2015/08/15"," 5589 "," 0.5% "
"","2015/08/16"," 5610 "," 0.5% "
"","2015/08/17"," 5764 "," 0.6% "
"","2015/08/18"," 5489 "," 0.5% "
"","2015/08/19"," 5303 "," 0.5% "
"","2015/08/20"," 5267 "," 0.5% "
"","2015/08/21"," 4896 "," 0.5% "
"","2015/08/22"," 5070 "," 0.5% "
"","2015/08/23"," 4751 "," 0.5% "
"","2015/08/24"," 4254 "," 0.4% "
"","2015/08/25"," 4143 "," 0.4% "
"","2015/08/26"," 3906 "," 0.4% "
"","2015/08/27"," 4362 "," 0.4% "
"","2015/08/28"," 4179 "," 0.4% "
"","2015/08/29"," 4063 "," 0.4% "
"","2015/08/30"," 4078 "," 0.4% "
"","2015/08/31"," 3120 "," 0.3% "
"","2015/09/01"," 3445 "," 0.3% "
"","2015/09/02"," 2843 "," 0.3% "
"","2015/09/03"," 3158 "," 0.3% "
"","2015/09/04"," 2920 "," 0.3% "
"","2015/09/05"," 3232 "," 0.3% "
"","2015/09/06"," 3135 "," 0.3% "
"","2015/09/07"," 2690 "," 0.3% "
"","2015/09/08"," 2464 "," 0.2% "
"","2015/09/09"," 2720 "," 0.3% "
"","2015/09/10"," 2877 "," 0.3% "
"","2015/09/11"," 2949 "," 0.3% "
