Incomplete,Date,Events,% of Events
"","2015/05/11"," 5928 "," 0.6% "
"","2015/05/12"," 5740 "," 0.6% "
"","2015/05/13"," 6156 "," 0.6% "
"","2015/05/14"," 6036 "," 0.6% "
"","2015/05/15"," 6278 "," 0.6% "
"","2015/05/16"," 6677 "," 0.6% "
"","2015/05/17"," 6344 "," 0.6% "
"","2015/05/18"," 6504 "," 0.6% "
"","2015/05/19"," 5906 "," 0.6% "
"","2015/05/20"," 5365 "," 0.5% "
"","2015/05/21"," 13928 "," 1.4% "
"","2015/05/22"," 15067 "," 1.5% "
"","2015/05/23"," 17110 "," 1.7% "
"","2015/05/24"," 16662 "," 1.6% "
"","2015/05/25"," 16363 "," 1.6% "
"","2015/05/26"," 14251 "," 1.4% "
"","2015/05/27"," 13198 "," 1.3% "
"","2015/05/28"," 13746 "," 1.3% "
"","2015/05/29"," 14110 "," 1.4% "
"","2015/05/30"," 14046 "," 1.4% "
"","2015/05/31"," 13314 "," 1.3% "
"","2015/06/01"," 12226 "," 1.2% "
"","2015/06/02"," 11425 "," 1.1% "
"","2015/06/03"," 11227 "," 1.1% "
"","2015/06/04"," 10222 "," 1.0% "
"","2015/06/05"," 9439 "," 0.9% "
"","2015/06/06"," 9804 "," 1.0% "
"","2015/06/07"," 9258 "," 0.9% "
"","2015/06/08"," 8978 "," 0.9% "
"","2015/06/09"," 8689 "," 0.8% "
"","2015/06/10"," 8644 "," 0.8% "
"","2015/06/11"," 7861 "," 0.8% "
"","2015/06/12"," 7742 "," 0.8% "
"","2015/06/13"," 8272 "," 0.8% "
"","2015/06/14"," 8268 "," 0.8% "
"","2015/06/15"," 8055 "," 0.8% "
"","2015/06/16"," 8116 "," 0.8% "
"","2015/06/17"," 8022 "," 0.8% "
"","2015/06/18"," 8272 "," 0.8% "
"","2015/06/19"," 7423 "," 0.7% "
"","2015/06/20"," 7816 "," 0.8% "
"","2015/06/21"," 8355 "," 0.8% "
"","2015/06/22"," 7126 "," 0.7% "
