Incomplete,Date,Events,% of Events
"","2015/05/11"," 13371 "," 1.1% "
"","2015/05/12"," 14261 "," 1.2% "
"","2015/05/13"," 13252 "," 1.1% "
"","2015/05/14"," 12756 "," 1.0% "
"","2015/05/15"," 12337 "," 1.0% "
"","2015/05/16"," 13940 "," 1.1% "
"","2015/05/17"," 13523 "," 1.1% "
"","2015/05/18"," 13544 "," 1.1% "
"","2015/05/19"," 12303 "," 1.0% "
"","2015/05/20"," 11897 "," 1.0% "
"","2015/05/21"," 12661 "," 1.0% "
"","2015/05/22"," 12263 "," 1.0% "
"","2015/05/23"," 12136 "," 1.0% "
"","2015/05/24"," 12669 "," 1.0% "
"","2015/05/25"," 13873 "," 1.1% "
"","2015/05/26"," 12429 "," 1.0% "
"","2015/05/27"," 11668 "," 1.0% "
"","2015/05/28"," 12108 "," 1.0% "
"","2015/05/29"," 12625 "," 1.0% "
"","2015/05/30"," 13122 "," 1.1% "
"","2015/05/31"," 13774 "," 1.1% "
"","2015/06/01"," 12210 "," 1.0% "
"","2015/06/02"," 12144 "," 1.0% "
"","2015/06/03"," 11915 "," 1.0% "
"","2015/06/04"," 11512 "," 0.9% "
"","2015/06/05"," 11722 "," 1.0% "
"","2015/06/06"," 12442 "," 1.0% "
"","2015/06/07"," 13084 "," 1.1% "
"","2015/06/08"," 11980 "," 1.0% "
"","2015/06/09"," 12090 "," 1.0% "
"","2015/06/10"," 14135 "," 1.2% "
"","2015/06/11"," 14214 "," 1.2% "
"","2015/06/12"," 13192 "," 1.1% "
"","2015/06/13"," 12811 "," 1.0% "
"","2015/06/14"," 13237 "," 1.1% "
"","2015/06/15"," 12795 "," 1.0% "
"","2015/06/16"," 11746 "," 1.0% "
"","2015/06/17"," 11750 "," 1.0% "
"","2015/06/18"," 10992 "," 0.9% "
"","2015/06/19"," 9457 "," 0.8% "
"","2015/06/20"," 10340 "," 0.8% "
"","2015/06/21"," 10602 "," 0.9% "
"","2015/06/22"," 9722 "," 0.8% "
"","2015/06/23"," 9300 "," 0.8% "
"","2015/06/24"," 5774 "," 0.5% "
"","2015/06/25"," 3427 "," 0.3% "
"","2015/06/26"," 2617 "," 0.2% "
"","2015/06/27"," 2510 "," 0.2% "
"","2015/06/28"," 2511 "," 0.2% "
"","2015/06/29"," 2598 "," 0.2% "
"","2015/06/30"," 2302 "," 0.2% "
"","2015/07/01"," 2267 "," 0.2% "
"","2015/07/02"," 2112 "," 0.2% "
"","2015/07/03"," 2029 "," 0.2% "
"","2015/07/04"," 1779 "," 0.1% "
"","2015/07/05"," 1966 "," 0.2% "
"","2015/07/06"," 1855 "," 0.2% "
"","2015/07/07"," 1921 "," 0.2% "
"","2015/07/08"," 1549 "," 0.1% "
"","2015/07/09"," 4255 "," 0.3% "
"","2015/07/10"," 6001 "," 0.5% "
"","2015/07/11"," 6299 "," 0.5% "
