Incomplete,Date,Events,% of Events
"","2015/07/12"," 7424 "," 0.6% "
"","2015/07/13"," 9516 "," 0.8% "
"","2015/07/14"," 10166 "," 0.8% "
"","2015/07/15"," 10722 "," 0.9% "
"","2015/07/16"," 11299 "," 0.9% "
"","2015/07/17"," 10428 "," 0.8% "
"","2015/07/18"," 11155 "," 0.9% "
"","2015/07/19"," 12515 "," 1.0% "
"","2015/07/20"," 11650 "," 0.9% "
"","2015/07/21"," 10900 "," 0.9% "
"","2015/07/22"," 10626 "," 0.9% "
"","2015/07/23"," 11040 "," 0.9% "
"","2015/07/24"," 10449 "," 0.9% "
"","2015/07/25"," 10779 "," 0.9% "
"","2015/07/26"," 11769 "," 1.0% "
"","2015/07/27"," 12153 "," 1.0% "
"","2015/07/28"," 11192 "," 0.9% "
"","2015/07/29"," 10923 "," 0.9% "
"","2015/07/30"," 10838 "," 0.9% "
"","2015/07/31"," 9997 "," 0.8% "
"","2015/08/01"," 10087 "," 0.8% "
"","2015/08/02"," 10728 "," 0.9% "
"","2015/08/03"," 10300 "," 0.8% "
"","2015/08/04"," 9921 "," 0.8% "
"","2015/08/05"," 10030 "," 0.8% "
"","2015/08/06"," 10303 "," 0.8% "
"","2015/08/07"," 10040 "," 0.8% "
"","2015/08/08"," 10030 "," 0.8% "
"","2015/08/09"," 10953 "," 0.9% "
"","2015/08/10"," 10034 "," 0.8% "
"","2015/08/11"," 9540 "," 0.8% "
"","2015/08/12"," 10225 "," 0.8% "
"","2015/08/13"," 9925 "," 0.8% "
"","2015/08/14"," 9440 "," 0.8% "
"","2015/08/15"," 9900 "," 0.8% "
"","2015/08/16"," 10473 "," 0.9% "
"","2015/08/17"," 9699 "," 0.8% "
"","2015/08/18"," 9761 "," 0.8% "
"","2015/08/19"," 9925 "," 0.8% "
"","2015/08/20"," 10375 "," 0.8% "
"","2015/08/21"," 9864 "," 0.8% "
"","2015/08/22"," 10306 "," 0.8% "
"","2015/08/23"," 10692 "," 0.9% "
"","2015/08/24"," 9657 "," 0.8% "
"","2015/08/25"," 9700 "," 0.8% "
"","2015/08/26"," 9405 "," 0.8% "
"","2015/08/27"," 9983 "," 0.8% "
"","2015/08/28"," 9955 "," 0.8% "
"","2015/08/29"," 9925 "," 0.8% "
"","2015/08/30"," 10994 "," 0.9% "
"","2015/08/31"," 9743 "," 0.8% "
"","2015/09/01"," 8961 "," 0.7% "
"","2015/09/02"," 8779 "," 0.7% "
"","2015/09/03"," 9259 "," 0.8% "
"","2015/09/04"," 9153 "," 0.7% "
"","2015/09/05"," 9551 "," 0.8% "
"","2015/09/06"," 10194 "," 0.8% "
"","2015/09/07"," 10491 "," 0.9% "
"","2015/09/08"," 9639 "," 0.8% "
"","2015/09/09"," 9129 "," 0.7% "
"","2015/09/10"," 9326 "," 0.8% "
"","2015/09/11"," 8463 "," 0.7% "
