Incomplete,Date,Events,% of Events
"","2015/05/11"," 35192 "," 1.0% "
"","2015/05/12"," 35200 "," 1.0% "
"","2015/05/13"," 34473 "," 1.0% "
"","2015/05/14"," 35103 "," 1.0% "
"","2015/05/15"," 33954 "," 1.0% "
"","2015/05/16"," 35763 "," 1.0% "
"","2015/05/17"," 35953 "," 1.0% "
"","2015/05/18"," 37112 "," 1.1% "
"","2015/05/19"," 35666 "," 1.0% "
"","2015/05/20"," 34458 "," 1.0% "
"","2015/05/21"," 35035 "," 1.0% "
"","2015/05/22"," 33919 "," 1.0% "
"","2015/05/23"," 33810 "," 1.0% "
"","2015/05/24"," 35136 "," 1.0% "
"","2015/05/25"," 39135 "," 1.1% "
"","2015/05/26"," 35159 "," 1.0% "
"","2015/05/27"," 34353 "," 1.0% "
"","2015/05/28"," 34228 "," 1.0% "
"","2015/05/29"," 34342 "," 1.0% "
"","2015/05/30"," 34729 "," 1.0% "
"","2015/05/31"," 36832 "," 1.1% "
"","2015/06/01"," 34700 "," 1.0% "
"","2015/06/02"," 36555 "," 1.1% "
"","2015/06/03"," 33784 "," 1.0% "
"","2015/06/04"," 32611 "," 0.9% "
"","2015/06/05"," 31871 "," 0.9% "
"","2015/06/06"," 33063 "," 1.0% "
"","2015/06/07"," 34307 "," 1.0% "
"","2015/06/08"," 33239 "," 1.0% "
"","2015/06/09"," 33352 "," 1.0% "
"","2015/06/10"," 33603 "," 1.0% "
"","2015/06/11"," 31692 "," 0.9% "
"","2015/06/12"," 30042 "," 0.9% "
"","2015/06/13"," 30962 "," 0.9% "
"","2015/06/14"," 32185 "," 0.9% "
"","2015/06/15"," 31842 "," 0.9% "
"","2015/06/16"," 30155 "," 0.9% "
"","2015/06/17"," 27903 "," 0.8% "
"","2015/06/18"," 28692 "," 0.8% "
"","2015/06/19"," 27085 "," 0.8% "
"","2015/06/20"," 27682 "," 0.8% "
"","2015/06/21"," 27207 "," 0.8% "
"","2015/06/22"," 26394 "," 0.8% "
"","2015/06/23"," 26169 "," 0.8% "
"","2015/06/24"," 19546 "," 0.6% "
"","2015/06/25"," 12764 "," 0.4% "
"","2015/06/26"," 11094 "," 0.3% "
"","2015/06/27"," 10710 "," 0.3% "
"","2015/06/28"," 11286 "," 0.3% "
"","2015/06/29"," 10580 "," 0.3% "
"","2015/06/30"," 9725 "," 0.3% "
"","2015/07/01"," 9335 "," 0.3% "
"","2015/07/02"," 9647 "," 0.3% "
"","2015/07/03"," 8995 "," 0.3% "
"","2015/07/04"," 8017 "," 0.2% "
"","2015/07/05"," 9128 "," 0.3% "
"","2015/07/06"," 8291 "," 0.2% "
"","2015/07/07"," 8456 "," 0.2% "
"","2015/07/08"," 7852 "," 0.2% "
"","2015/07/09"," 11802 "," 0.3% "
"","2015/07/10"," 13968 "," 0.4% "
"","2015/07/11"," 15205 "," 0.4% "
"","2015/07/12"," 17145 "," 0.5% "
"","2015/07/13"," 23462 "," 0.7% "
"","2015/07/14"," 26935 "," 0.8% "
"","2015/07/15"," 28007 "," 0.8% "
"","2015/07/16"," 29237 "," 0.8% "
"","2015/07/17"," 28424 "," 0.8% "
"","2015/07/18"," 29287 "," 0.8% "
"","2015/07/19"," 33187 "," 1.0% "
"","2015/07/20"," 31743 "," 0.9% "
"","2015/07/21"," 31166 "," 0.9% "
"","2015/07/22"," 30382 "," 0.9% "
"","2015/07/23"," 31297 "," 0.9% "
"","2015/07/24"," 29836 "," 0.9% "
"","2015/07/25"," 30349 "," 0.9% "
"","2015/07/26"," 32905 "," 0.9% "
"","2015/07/27"," 34192 "," 1.0% "
"","2015/07/28"," 31707 "," 0.9% "
"","2015/07/29"," 30572 "," 0.9% "
"","2015/07/30"," 31435 "," 0.9% "
"","2015/07/31"," 29858 "," 0.9% "
"","2015/08/01"," 29183 "," 0.8% "
"","2015/08/02"," 32339 "," 0.9% "
"","2015/08/03"," 31467 "," 0.9% "
"","2015/08/04"," 29839 "," 0.9% "
"","2015/08/05"," 29188 "," 0.8% "
"","2015/08/06"," 30067 "," 0.9% "
"","2015/08/07"," 29301 "," 0.8% "
"","2015/08/08"," 29098 "," 0.8% "
"","2015/08/09"," 30735 "," 0.9% "
"","2015/08/10"," 30833 "," 0.9% "
"","2015/08/11"," 29398 "," 0.8% "
"","2015/08/12"," 30998 "," 0.9% "
"","2015/08/13"," 29689 "," 0.9% "
"","2015/08/14"," 29757 "," 0.9% "
"","2015/08/15"," 29867 "," 0.9% "
"","2015/08/16"," 32914 "," 0.9% "
"","2015/08/17"," 30847 "," 0.9% "
"","2015/08/18"," 29637 "," 0.9% "
"","2015/08/19"," 29529 "," 0.9% "
"","2015/08/20"," 29194 "," 0.8% "
"","2015/08/21"," 27528 "," 0.8% "
"","2015/08/22"," 29366 "," 0.8% "
"","2015/08/23"," 31081 "," 0.9% "
"","2015/08/24"," 29477 "," 0.9% "
"","2015/08/25"," 28367 "," 0.8% "
"","2015/08/26"," 27317 "," 0.8% "
"","2015/08/27"," 28478 "," 0.8% "
"","2015/08/28"," 27066 "," 0.8% "
"","2015/08/29"," 27974 "," 0.8% "
"","2015/08/30"," 31176 "," 0.9% "
"","2015/08/31"," 28673 "," 0.8% "
"","2015/09/01"," 27652 "," 0.8% "
"","2015/09/02"," 26876 "," 0.8% "
"","2015/09/03"," 28299 "," 0.8% "
"","2015/09/04"," 26181 "," 0.8% "
"","2015/09/05"," 27794 "," 0.8% "
"","2015/09/06"," 29486 "," 0.9% "
"","2015/09/07"," 30139 "," 0.9% "
"","2015/09/08"," 27698 "," 0.8% "
"","2015/09/09"," 26075 "," 0.8% "
"","2015/09/10"," 27478 "," 0.8% "
"","2015/09/11"," 25326 "," 0.7% "
