@relation 'DNC Dataset Android 0511-0911 - Training Set-weka.filters.unsupervised.attribute.Remove-R4-9,18-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'Cohort Size' numeric
@attribute 'Day 1' numeric
@attribute CrashesANRDay1 numeric
@attribute DailyAverageRating numeric
@attribute LevelFailedEvents numeric
@attribute LevelSuccessEvents numeric
@attribute LevelPlayedEvents numeric
@attribute Sessions numeric
@attribute MKTExpenses numeric
@attribute TotalPurchases numeric
@attribute ActiveUsersDay7 numeric
@attribute AvgSessionSeconds numeric
@attribute MedianSessionSeconds numeric

@data
248,33.87,0,4.42,4887,4334,9221,5397,72,9,1385,473,305
244,33.2,0,4.39,4522,4063,8586,4933,72,10,951,499,325
261,31.8,1,4.31,4330,3772,8102,4717,65.6,5,670,510,313
240,31.25,0,4.33,4641,3624,8267,4773,75.2,4,585,504,332
265,35.47,0,4.69,4636,3997,8633,4935,80.8,8,499,484,326
229,34.06,1,4.44,4220,3502,7722,4461,75.2,9,459,495,308
231,34.63,0,4.64,3960,3735,7695,4360,70.4,9,801,499,326
194,21.65,0,4.42,3851,3268,7119,4027,80,5,1046,494,338
33,24.24,0,4.67,2581,1962,4543,2808,148.21,4,1173,535,294
22,22.73,1,5,2002,1267,3270,1986,107.99,8,1205,498,317
29,24.14,0,4.36,1783,1204,2990,1877,116,13,1188,462,314
9,44.44,0,4.45,1660,1172,2833,1661,122.92,7,1208,479,324
13,38.46,1,4.57,1412,990,2403,1417,69.6,1,1125,500,342
211,46.45,1,3.89,2060,1808,3868,2216,72,0,1188,517,334
233,39.06,1,4.33,2544,2314,4858,2914,64.8,5,1081,515,348
246,38.62,0,4.88,2897,2482,5379,3311,64,2,1067,474,318
237,37.97,0,5,2996,2593,5589,3511,69.6,5,1136,455,298
250,34.4,2,4.71,3004,2606,5610,3376,69.6,8,1034,463,328
255,34.12,0,4.2,3052,2709,5764,3456,71.2,7,967,476,318
209,37.8,1,5,2872,2617,5489,3132,68,11,999,494,362
197,37.56,1,4.5,2860,2443,5303,3256,55.72,5,913,487,338
140,35.71,0,4.6,2891,2376,5267,3044,6.3,12,937,500,341
127,41.73,0,3.83,2713,2183,4896,3046,8.1,7,896,481,324
179,39.11,0,4.14,2748,2322,5070,3067,7.1,4,922,470,330
147,37.41,0,4.44,2684,2066,4751,2931,7.2,3,883,461,311
140,43.57,0,4,2322,1932,4254,2718,13.4,4,768,529,310
115,33.91,0,4.55,2264,1879,4143,2632,7.2,6,750,471,320
105,35.24,0,5,2177,1729,3906,2565,0,2,709,556,303
105,40,1,3.25,2336,2026,4362,2808,0.8,1,730,477,314
100,37,0,5,2314,1865,4179,2609,0,5,756,474,305
108,37.96,0,4.88,2201,1862,4063,2637,0,2,769,443,278
100,24,0,4.3,2255,1823,4078,2593,0.9,6,665,1174,331
73,41.1,0,4.75,1806,1314,3120,2051,0,4,665,1114,320
69,30.43,0,4,1918,1527,3445,2134,0,2,616,1054,332
78,46.15,0,4,1603,1240,2843,1886,0.9,2,608,994,312
78,35.9,3,3.71,1784,1374,3158,2052,0,4,643,934,326
73,41.1,0,4,1600,1320,2920,1945,0,3,650,874,301
111,29.73,1,4.22,1769,1463,3232,2072,0.9,7,688,814,315
71,39.44,0,3.33,1689,1446,3135,2030,0,1,688,754,315
75,44,0,4.38,1554,1136,2690,1806,0,6,602,694,268
49,44.9,1,4.38,1429,1035,2464,1705,0,1,592,634,312
67,35.82,0,4.5,1453,1266,2720,1765,0,4,624,574,302
82,35.37,1,4.33,1414,1223,2877,1787,0.9,5,564,514,347
69,52.17,1,3.82,1515,1239,2949,1954,0,0,603,454,276
263,41.44,0,4.13,3268,3953,7221,3555,80.85,2,1306,424,319
301,38.54,0,3.36,3790,4437,8227,3790,95.03,1,1310,416,289
313,37.7,1,3.4,3828,4495,8323,3888,120.34,0,1378,393,256
307,44.95,0,4.11,3741,4385,8126,3903,120.55,0,1476,422,256
291,41.24,0,3.38,3848,4571,8419,3991,109.01,0,1540,436,302
331,45.32,3,3.45,4160,5101,9261,4301,119.63,0,1596,404,278
301,40.53,2,3.67,3661,4347,8008,3826,119.38,2,1608,429,306
346,43.35,0,3.44,3915,5314,9229,4370,120.67,1,1673,426,309
348,41.95,0,4.29,3728,4986,8714,4366,120.4,1,1691,415,282
360,46.67,3,3.67,3630,5382,9012,4389,135.66,0,1729,417,288
406,45.07,2,4,4217,6805,11022,5016,188.59,0,1702,395,264
416,41.35,2,3.64,4277,6207,10484,4874,184.21,1,1822,406,276
434,42.86,2,4.25,4690,6877,11567,5379,184.16,0,1769,406,263
411,42.82,3,4.36,4915,7032,11947,5565,184.28,0,1695,411,282
437,40.5,4,4.63,5448,7691,13139,6080,202.52,2,1651,409,285
417,39.81,2,4.29,5292,7471,12763,6060,189.7,2,1604,410,278
396,46.97,6,4.2,6065,7503,13568,6440,190.56,1,1570,416,290
330,43.94,6,5,5928,7727,13655,6181,187.55,1,1675,419,283
